298,94 482,103 480,144 295,135
974,96 1156,107 1153,150 971,139
551,108 723,108 723,143 551,143
753,108 924,108 924,143 753,143
1204,100 1378,109 1376,142 1202,133
105,110 264,110 264,145 105,145
1425,103 1610,103 1610,143 1425,143
97,161 268,159 268,193 98,196
307,156 493,165 492,198 306,189
527,154 708,167 706,202 524,189
961,162 1139,167 1138,202 960,197
1190,154 1368,165 1366,200 1188,189
1417,159 1601,155 1602,188 1418,192
1636,155 1821,159 1820,194 1635,189
743,199 923,208 921,248 741,239
79,211 262,211 262,244 79,244
302,211 477,209 477,244 302,246
965,207 1141,213 1140,246 963,240
1210,203 1390,211 1388,246 1208,238
1651,205 1839,211 1837,250 1649,243
524,217 703,213 704,248 525,252
1421,215 1604,215 1604,248 1421,248
69,264 245,253 247,288 71,299
522,259 704,266 703,300 520,294
754,263 893,267 892,300 753,296
979,259 1155,268 1154,301 977,292
1417,255 1603,266 1600,307 1414,295
320,269 495,269 495,302 320,302
74,307 263,314 261,349 73,342
522,305 704,316 702,351 520,340
753,309 931,318 929,353 751,344
973,311 1151,318 1150,353 971,346
1202,315 1387,315 1387,348 1202,348
1422,315 1608,320 1607,354 1421,350
1656,319 1838,319 1838,352 1656,352
528,359 710,370 708,403 526,392
749,359 929,370 927,403 747,392
978,351 1158,369 1154,402 975,384
297,367 479,374 478,409 296,402
1431,374 1572,374 1572,401 1431,401
289,412 482,420 480,453 288,445
73,422 254,416 255,449 74,455
519,418 700,422 699,455 518,451
755,422 930,422 930,449 755,449
1196,426 1383,426 1383,459 1196,459
1426,422 1610,428 1609,461 1425,454
1666,422 1852,422 1852,455 1666,455
514,468 702,475 701,508 512,501
742,468 925,477 923,510 741,501
68,478 246,478 246,511 68,511
973,470 1151,478 1150,508 971,499
1192,474 1379,474 1379,509 1192,509
1671,478 1860,478 1860,513 1671,513
511,528 656,533 655,560 510,555
732,520 917,529 915,562 731,553
967,520 1147,529 1146,558 965,549
274,535 450,524 452,557 276,568
1199,530 1382,538 1380,566 1198,557
1439,536 1624,536 1624,563 1439,563
1680,534 1876,538 1876,571 1679,567
279,580 465,585 465,618 278,613
981,576 1161,583 1160,616 979,609
54,590 229,590 229,617 54,617
514,591 653,586 654,613 515,618
751,586 930,586 930,614 751,614
1443,584 1629,601 1626,632 1440,614
509,635 698,641 697,668 508,662
741,643 920,643 920,670 741,670
963,634 1145,643 1144,676 961,667
50,648 225,648 225,676 50,676
272,647 453,642 453,670 273,674
1203,642 1390,649 1389,676 1202,669
1687,656 1830,656 1830,677 1687,677
514,691 708,699 707,732 512,723
50,701 223,701 223,734 50,734
964,699 1155,699 1155,732 964,732
1215,694 1400,703 1398,730 1214,722
1451,707 1630,704 1630,734 1451,736
45,759 228,755 229,782 46,786
267,757 453,759 453,786 266,784
507,755 700,759 699,786 507,782
731,755 914,755 914,782 731,782
988,757 1175,759 1174,786 988,784
1460,756 1610,763 1609,790 1458,784
1208,766 1393,766 1393,794 1208,794
1699,765 1840,765 1840,786 1699,786
29,811 233,819 232,846 27,838
265,809 455,813 455,840 264,836
497,809 692,813 691,846 497,842
736,813 925,819 924,846 735,840
974,811 1167,817 1166,844 974,838
1213,813 1404,821 1402,848 1212,840
1694,818 1839,825 1838,852 1693,845
32,867 215,873 214,900 31,894
255,869 447,873 447,900 254,896
494,869 684,875 683,904 493,898
736,875 877,879 876,906 735,902
974,877 1169,877 1169,904 974,904
1456,876 1646,883 1645,912 1455,906
41,925 211,933 210,960 39,952
251,925 452,935 450,962 250,952
491,929 686,933 685,966 491,962
1206,928 1410,939 1408,972 1204,961
735,939 874,939 874,960 735,960
