40123456M,P458847,A0123476,A0123458,F4583,23 45898,A0123479,
A012457,CO123456,COI23468,,BS678919,B5678909,CO!23460,56789
CO123461,A0123478,CO123482,2345690,D8 67900,B5678904,DO8 67890,DO8 67906
CO123475,A0123481,CO12366,DO8 67903,D8 67906,,B5678929,
,,DO867905,234568,F458842,CO123481,B5678925,0867916
40123462,CO123470,D08 67904,2345702,,TLEW,B5678907,
A0123464,,CO123462,23 45705,P458837,B35678921,D0867917,A0123463
,A0123472,DO867912,2345683,F4588836,CO123485,,AO123460.
A0123466,2345692,DO867902,2345693,458840,B5678930,A0123469,A0123482
,A0123467,CO123478,2345689,,,CO1 23464,
A0123465,,,,F4588850,D08 67907,,B5678923
A0123477,,23 45701,,C23465,DO867918,A0123474,
A0123468,E2345678,CO123477,4588826,4588823,DO8 67911,D08 67896,D08 67893
40123495,E2345680,DO8 67901,D08 67898,2345687,F4588838,,D08 67913
,CO!23459,D0867909,B56 78901,,,B5678916,
85678929,CO123458,2345704,D08 67897,,B56 78924,,BS67391
