40123456,P4588847,A0123476,A0123458,F45834,23 45898,AO123479,
A0123457,CO1 23456,CO12346,,BS678919,B5678909,CO! 23460,BS67892
CO123461,A0123478M,CO123482,23 45690,D0867900,B5678904,D0867890,DO8 67906
CO123475,A0123481,DO867910,D08 67903,DO8 67906 ,,B5678929,
,,DO867905,234568R,458842,CO123481,B5678925,00867916
A0123462,CO1 23470,DO867904,23 45702,,,B56 78907,
A0123464,,CO123462,23 45705,P4588837,CO123485,DO87917,A0123463
,A0123472,DO8 67912,2345683,F4588836,,,AO1 23460
A0123466,2345692,D0867902,2345693,58840,B5678930,A0123469,A0123482
A0123465,A0123467,CO123478,2345689,F458850,,CO123464,
,,23 45701,,,D08 67907,,B56 78923
A0123477,,,,C123465,DO8 67918,A0123474,
A0123468,E2345678,C01 23477,4588826,45 88823,DO867911,DO8 67896,D08 67893 
40123485,E23 45680,DO867901,D08 67898,23 45687,F45 88838,,D08 67913
,CO!23459,D0867909,B56 78901,B56 78902,,B56 78916,
85678929,CO123458,23 45704,D08 67897 ,,B5678924,,B5673911
