A0123456,F4588847,A0123476,A0123458,F4588834,E2345698,AO123479,
A0123457,CO1 23456,CO123468,,B5678919,B5678909,CO123460,B5678912
CO123461,A0123478,CO123482,E2345690,D0867900,B56 78904,DO867890,DO867908
A0123459,A0123481,CO123466,D08 67903,D0867906,,B5678929,
CO123475,,DO867910 ,E2345699,D0867915,CO123481,B5678925,DO867916
,A0123484,DO867905,2345688,F4588842,,B56 78907,
A0123462,O123470,DO867904,E2345702,,B567892,DO8 67917,A0123463
A0123464,,CO123462,E2345705,F4588837,CO123485,,A0123480
,A0123472,DO867912,E2345683,F4588836,B5678930,A0123469,A0123482
A0123466,2345692,DO8 67902,E2345693,F4588840,,CO123464,
A0123465,A0123467,CO123478,2345689,F45 88850,D0867907,,B5678923
A0123477,,E2345701,,CO123465,DO867918,A0123474,
A0123468,E2345678,CO123477,F4588826,F4588823,D08 67911,DO8 67896,D0867893
A01234852,E2345680,DO8679O1,DO867898,E2345687,F4588838,,D0867913
01234713,CO123459,D0867909,B5678901,B5678902,,B5678916,
5678920,CO123458,E2345704,D0867897,,B5678924,,
